$ : December31,March
$|US : November8
1,000,000,000|billion : December31,December31,October,October,Organism
100 : July
1000 : Christmas,December25,MrClaus
1017 : October28
1018 : March19
1020 : October4
1022 : March19
1024 : May13,October25
1027 : March26
1031 : March26
1032 : February2
1047 : October25
1052 : October4
1056 : October28
1064 : February2
1066 : Christmas,December25,March19,March19,MrClaus,November8,October,October
1075 : October8
1090 : March26
1092 : March19
1093 : March26
1096 : October25
1107 : November9
1108 : November8
1109 : May13
1115 : November8
1119 : May13
1124 : December31,February2
1130 : Christmas,December25,March26,MrClaus
1135 : November8
1142 : March20
1147 : October24,October25
1154 : March26,October25,October25
1155 : November9,October28
1157 : December31
1160 : October4
1164 : December31
1165 : March20
1169 : March26
1171 : November8
1173 : March19
1176 : May13
1180 : November8
1186 : February2
1187 : November8,November9
1194 : December31
1195 : November8
1200 : October25
1207 : February2
1208 : February2,November9
1212 : March26
1216 : February2
1217 : March19,March20,October8
1218 : February2
1220 : October4
1221 : May13
1223 : Christmas,December25,MrClaus
1225 : December31,October28
1226 : November8,October4
1229 : February2
1238 : December31
1246 : November8
1249 : October4
1250 : Christmas,December25,February2,MrClaus,October4
1254 : March19,May13
1260 : October24,October24
1262 : October28
1263 : May13,May13
1265 : February2,October8
1268 : October4
1274 : October4
1276 : February2,October4
1278 : November8
1280 : March19
1282 : November9
1286 : October8
1289 : October4
1291 : August
1293 : March20
1294 : February2
1296 : March19
1299 : October4
13 : Friday,Friday
1302 : December31
1305 : Christmas,December25,MrClaus,October4
1307 : February2
1308 : November8
1311 : October4
1312 : May13,October28
1313 : November9
1316 : October4
1317 : October8
1318 : March19
1319 : October4
1320 : April,AprilFools,October24
1321 : May13
1322 : March19
1328 : December31
1330 : October25
1338 : March20
1340 : October25
1342 : November8
1344 : March26,October28
1351 : March26
1353 : October28
1360 : October24
1367 : March20
1371 : October25
1375 : October24
1378 : December31,October24
1379 : October4
1384 : December31,October25,October25
1389 : November9
1390 : March20
14 : August
1400 : December31,October25
1402 : October24
1404 : March19
1406 : November9,October4
1409 : November9
1411 : February2
1412 : October28
1413 : March20,March20
1414 : November9
1415 : October25,October25,October25
1416 : November8
1420 : October28
1421 : February2
1424 : Christmas,December25,MrClaus
1425 : October25
1431 : October25
1436 : November8
1443 : October28
1445 : Christmas,December25,MrClaus
1452 : November9
1455 : February2,October25
1456 : November9,November9
1457 : February2
1458 : December31
1460 : December31
1461 : Christmas,December25,February2,February2,MrClaus
1463 : March19
1465 : March19
1469 : March20
1472 : December31,December31
1477 : March20
1478 : February2,October25
1480 : October8
1482 : March26
1485 : October28
1486 : November9
1488 : March19
1490 : March20
1491 : December31,November8
1492 : August,November9,October,October28
1493 : December31,March19,May,May11
1494 : December31,February2,November9
1495 : Christmas,December25,MrClaus,October25
1496 : March20
1497 : March20,May13
1498 : March20
1499 : December31
1500 : Christmas,December25,MrClaus
1502 : April,AprilFools,March20
1503 : October24
1505 : Christmas,December25,MrClaus
1507 : March20
1508 : October24
1509 : April,AprilFools
1510 : December31,October25,October28
1511 : March26,October4
1512 : February2
1513 : February2
1514 : December31,October25
1515 : May13,October4,October4,October8
1516 : March26,November9,November9,October28
1517 : November8,October
1519 : April,AprilFools,May,May11,November8
1520 : November8,November9
1521 : Christmas,December25,March19,March20,May13,MrClaus
1522 : February2,November9
1525 : February2,February2
1526 : February2
1527 : March20
1528 : November8
1529 : February2
153 : August
1531 : October28
1533 : April,AprilFools
1535 : March26,October4
